target_node,target_neighbors_num,First_nbr_adopter,Second_nbr_adopter,Third_nbr_adopter,past_adoption_exist,past_adoption_target_num,com_hashtags_max,com_hashtags_min,com_hashtags_ave,outdeg_v1,num_hashtags_v1,orig_connections_k,unique_Ak_num,max_subG,min_subG,ave_subG,views_1k,subG_edges,max_AkG_deg,min_AkG_deg,ave_AkG_deg,time_ave_k,time_ave_1_k2,time_ave_k2_k,speed_exposure,speed_adoption,time_1_1,time_1_2,time_1_3,time_1_4,time_1_5,time_1_6,time_1_7,time_1_8,time_1_9,time_1_10,time_1_11,time_1_12,time_1_13,time_1_14,time_1_15,time_1_16,time_1_17,time_1_18,time_1_19,time_1_20,time_1_21,time_1_22,time_1_23,time_1_24,r_node_0,r_node_1,r_node_2,r_node_3,r_node_4,r_node_5,r_node_6,r_node_7,r_node_8,r_node_9,r_node_10,r_node_11,r_node_12,r_node_13,r_node_14,r_node_15,r_node_16,r_node_17,r_node_18,r_node_19,r_node_20,r_node_21,r_node_22,r_node_23,r_node_24,distKV_target_0,distKV_target_1,distKV_target_2,distKV_target_3,distKV_target_4,distKV_target_5,distKV_target_6,distKV_target_7,distKV_target_8,distKV_target_9,distKV_target_10,distKV_target_11,distKV_target_12,distKV_target_13,distKV_target_14,distKV_target_15,distKV_target_16,distKV_target_17,distKV_target_18,distKV_target_19,distKV_target_20,distKV_target_21,distKV_target_22,distKV_target_23,distKV_target_24,cas_cos_simi_0,cas_cos_simi_1,cas_cos_simi_2,cas_cos_simi_3,cas_cos_simi_4,cas_cos_simi_5,cas_cos_simi_6,cas_cos_simi_7,cas_cos_simi_8,cas_cos_simi_9,cas_cos_simi_10,cas_cos_simi_11,cas_cos_simi_12,cas_cos_simi_13,cas_cos_simi_14,cas_cos_simi_15,cas_cos_simi_16,cas_cos_simi_17,cas_cos_simi_18,cas_cos_simi_19,cas_cos_simi_20,cas_cos_simi_21,cas_cos_simi_22,cas_cos_simi_23,cas_cos_simi_24,adoption_p,label
162655,35,0,2,19,1,28,28,1,2.48,32,32,0,25,2,0,0.4,2225,5,300,15,89.0,40858.0,27632.75,51181.6,0.0023147666507147167,2.6008614052974344e-05,21486,28078,32402,33080,76297,165387,191903,233971,245551,267176,323722,345602,353079,449404,450825,492006,527051,557674,606603,614952,697681,799316,960298,961220,4.29086209827e-07,5.83843909549e-07,3.35361409672e-06,2.4227869636e-06,1.69588803459e-06,5.38208333465e-06,9.14985688706e-07,7.71421498024e-07,1.12963529484e-06,2.91825283626e-06,2.19006396741e-06,7.48027886509e-06,0.151750351247,2.1134547257e-06,2.76723069123e-07,1.79055152066e-06,4.54903245453e-06,1.24958371315e-06,3.45849913709e-06,4.81243079423e-07,2.34246274965e-07,8.9992734469e-07,1.42229283839e-06,1.77719220373e-06,1.05597389475e-06,4.6505874204,3.71013895239,3.59759993572,3.07381642149,3.42916384646,3.28549335211,3.38868317558,3.49320441729,3.90907423179,3.2477955427,3.19882483887,3.86394327853,0.0,3.35055506215,3.47577477652,3.22174928675,3.38903979404,3.50022657616,3.36246533013,4.21269245103,8.7067656057,3.53124142334,2.94071281756,3.30263855629,3.81536880426,37.4,31.41,17.87,23.27,14.39,16.83,19.99,30.13,17.79,36.12,15.38,18.86,100.0,15.81,23.1,20.41,19.72,12.36,22.48,23.88,31.24,21.77,20.21,17.09,5.36,1,1
46916,233,0,2,21,1,16,16,1,3.36,32,32,0,25,2,0,0.4,2225,5,300,15,89.0,40858.0,27632.75,51181.6,0.0023147666507147167,2.6008614052974344e-05,21486,28078,32402,33080,76297,165387,191903,233971,245551,267176,323722,345602,353079,449404,450825,492006,527051,557674,606603,614952,697681,799316,960298,961220,2.5693435287e-07,3.32351385281e-07,1.44791756135e-06,1.16144339268e-06,9.47167310092e-07,3.70069371789e-07,4.65198958577e-07,4.48566148698e-07,5.4762606445e-07,2.15137425618e-06,1.53895305156e-06,3.4736712703e-06,3.17471625975e-07,0.150561103097,1.56934908123e-07,1.35913655845e-06,4.00650340141e-06,4.30661866685e-06,7.56396327376e-07,1.73867668772e-07,1.1378127916e-07,9.5702031858e-07,7.10029391031e-07,3.89365838962e-07,6.89430101011e-07,4.41860604098,2.97378985299,3.2591954647,2.69499171417,2.88237885968,2.89850432258,2.94213535645,3.00102350416,3.46823296512,2.72193940057,2.71677027581,3.45822952945,3.35055506215,0.0,3.12207866617,2.69498128972,2.78697930466,2.57063885088,3.02073164532,3.89925090321,8.24912925943,2.97426215879,2.48305926063,2.92513013104,3.35689915594,29.54,47.29,25.97,22.71,27.49,29.99,34.67,37.15,27.42,34.53,40.35,29.19,15.81,100.0,35.66,49.33,40.43,40.66,38.2,38.92,41.04,56.22,28.9,19.63,21.06,1,1
469949,15,0,1,9,1,32,32,1,3.12,32,32,0,25,2,0,0.4,2225,5,300,15,89.0,40858.0,27632.75,51181.6,0.0023147666507147167,2.6008614052974344e-05,21486,28078,32402,33080,76297,165387,191903,233971,245551,267176,323722,345602,353079,449404,450825,492006,527051,557674,606603,614952,697681,799316,960298,961220,5.02104824893e-07,7.52994539183e-07,3.83070789734e-06,2.64117515261e-06,1.45987007119e-06,1.00851316285e-06,1.22795587784e-06,1.0004454057e-06,1.29196499307e-06,4.32335825769e-06,3.61972278197e-06,6.6104739989e-06,6.45687161287e-07,2.43772555085e-06,0.153825736648,6.72359959319e-06,6.4798726415e-06,1.63820891146e-06,2.34355935736e-06,3.93352896907e-07,2.61605606435e-07,1.40256512164e-06,9.31903395025e-07,9.56150990801e-07,3.09434837779e-06,4.46239690834,3.35295670635,3.4237436963,2.73069254047,3.16785616822,2.95350559349,3.12026321917,3.18414261903,3.68207687212,2.99035625449,2.92903399887,3.65490291097,3.47577477652,3.12207866617,0.0,2.9058006388,3.02967360907,3.23752011265,2.96888255101,4.16321097485,8.43716340307,3.06249411289,2.74162929609,3.17324811524,3.66975077372,42.91,45.73,28.16,34.48,20.2,37.37,31.56,37.65,47.6,51.9,32.66,56.15,23.1,35.66,100.0,49.99,46.65,28.85,53.16,60.52,51.07,61.61,38.6,43.28,38.27,1,1
263452,85,0,4,23,1,11,11,1,2.84,32,32,0,25,2,0,0.4,2225,5,300,15,89.0,40858.0,27632.75,51181.6,0.0023147666507147167,2.6008614052974344e-05,21486,28078,32402,33080,76297,165387,191903,233971,245551,267176,323722,345602,353079,449404,450825,492006,527051,557674,606603,614952,697681,799316,960298,961220,2.65273101702e-06,8.77199755042e-07,3.94764574968e-06,3.04428936323e-06,2.51282156036e-06,1.28377124048e-06,2.3926155339e-06,4.11408894364e-05,8.77451687637e-05,6.07660454485e-06,3.45064140065e-06,6.37724795587e-06,7.3728592027e-07,3.72563670107e-06,1.18651757527e-06,0.151337661397,4.36320745217e-06,2.15106763843e-06,1.38152497633e-06,4.43672171908e-07,3.07667614106e-07,1.38573365234e-06,1.26576783284e-06,1.19601139553e-06,0.000130110709183,4.01418811331,2.89015879598,3.12627736119,2.39621143416,2.87150660391,2.26888151908,2.2740655717,1.2018969754,1.6469955583,2.596215425,2.52364881716,3.55349858148,3.22174928675,2.69498128972,2.9058006388,0.0,2.93325510737,2.92638112338,2.93998967876,3.81868311434,8.14683707284,2.9929336858,2.4572410042,2.81001564721,1.53410559677,35.14,52.33,35.74,37.51,25.03,44.26,36.95,40.23,43.2,52.85,44.7,46.45,20.41,49.33,49.99,100.0,46.64,41.42,33.96,55.33,61.13,53.8,39.51,34.41,32.44,1,1
57378,224,1,4,22,1,20,20,1,3.16,32,32,0,25,2,0,0.4,2225,5,300,15,89.0,40858.0,27632.75,51181.6,0.0023147666507147167,2.6008614052974344e-05,21486,28078,32402,33080,76297,165387,191903,233971,245551,267176,323722,345602,353079,449404,450825,492006,527051,557674,606603,614952,697681,799316,960298,961220,4.45054053699e-07,4.52411479441e-07,2.87776812587e-06,1.92470411404e-06,1.87156022156e-06,6.93583570272e-07,8.03328242347e-07,8.87742263984e-07,9.88781323737e-07,5.94954294627e-06,3.14519357813e-06,0.000743337071627,7.10786321021e-07,4.16748334195e-06,4.33920042958e-07,1.65568139926e-06,0.151316676916,1.60437883216e-06,1.96414681595e-05,4.33236926133e-07,2.8016016501e-07,1.09999086479e-06,1.61293191064e-06,6.67756705274e-07,1.07456859236e-06,4.53271418058,3.26005445943,3.36414158157,2.6508394735,2.89863468081,2.96625433141,2.9858792545,3.07176695753,3.74462835646,2.68587999035,2.69884812736,2.38742591331,3.38903979404,2.78697930466,3.02967360907,2.93325510737,0.0,2.97538471581,2.82641817216,3.83904965527,8.28861859707,3.09836596783,2.46361967732,3.09651261207,3.70049295086,43.97,45.73,42.14,28.04,31.94,41.74,30.75,36.17,28.74,44.67,36.46,54.98,19.72,40.43,46.65,46.64,100.0,39.35,47.34,56.26,49.66,51.27,46.08,39.95,33.44,1,1
202611,86,0,1,18,1,38,38,2,4.4,32,32,0,25,2,0,0.4,2225,5,300,15,89.0,40858.0,27632.75,51181.6,0.0023147666507147167,2.6008614052974344e-05,21486,28078,32402,33080,76297,165387,191903,233971,245551,267176,323722,345602,353079,449404,450825,492006,527051,557674,606603,614952,697681,799316,960298,961220,3.04161021917e-07,3.82315232024e-07,7.02592687212e-06,2.15314015515e-06,1.20909089685e-06,4.73838962302e-07,5.59792829995e-07,7.19013812647e-07,6.97208655827e-07,2.45830048017e-06,1.78967975554e-06,4.39593979563e-06,5.08551511167e-07,1.166794697e-05,2.85734112464e-07,2.12605522403e-06,4.17884719074e-06,0.151750902146,1.04851020745e-06,2.40139806943e-07,1.89728499625e-07,9.56182168808e-07,7.18801714947e-07,6.20880663922e-07,9.11724169535e-07,4.79825304589,3.37794521543,3.19329583467,2.85364378953,3.13850267633,3.1105240408,3.14267164014,3.10126423917,3.73177297185,2.97092435553,2.96509569003,3.70487690046,3.50022657616,2.57063885088,3.23752011265,2.92638112338,2.97538471581,0.0,3.28993310968,3.96423038354,8.381804333,3.1706713861,2.75279293253,3.29179557847,3.56311001825,20.33,32.67,18.88,15.14,17.24,25.9,13.19,25.54,14.58,32.16,32.48,25.48,12.36,40.66,28.85,41.42,39.35,100.0,22.94,41.6,45.52,48.72,25.54,12.18,28.41,1,1
378243,62,0,2,22,1,23,23,1,3.28,32,32,0,25,2,0,0.4,2225,5,300,15,89.0,40858.0,27632.75,51181.6,0.0023147666507147167,2.6008614052974344e-05,21486,28078,32402,33080,76297,165387,191903,233971,245551,267176,323722,345602,353079,449404,450825,492006,527051,557674,606603,614952,697681,799316,960298,961220,1.34431838044e-06,6.43656474225e-07,2.86374100103e-06,2.23115885095e-06,1.49784668178e-06,7.9697767994e-07,1.13968296834e-06,8.96431277037e-07,1.10666323854e-06,4.75123421651e-06,3.29281871561e-06,8.15016137038e-06,1.95237854513e-06,2.84258859909e-06,5.66990167103e-07,1.89402617722e-06,7.09627236729e-05,1.45438512646e-06,0.153344817206,3.71242264774e-07,2.14060758392e-07,1.04183851428e-06,1.14226815792e-06,8.93693295993e-07,1.47517136885e-06,4.28621307696,3.12062235359,3.54041459744,2.71066062102,3.13116104482,3.06732190969,3.15541130368,3.16644721822,3.69893973035,2.82440532133,2.7779488046,3.49194577293,3.36246533013,3.02073164532,2.96888255101,2.93998967876,2.82641817216,3.28993310968,0.0,3.96995775607,8.37714237955,3.10397172581,2.57999301494,3.10810677524,3.65341115644,47.57,39.27,26.38,36.43,30.97,44.62,40.12,53.07,33.63,51.22,41.41,42.86,22.48,38.2,53.16,33.96,47.34,22.94,100.0,55.16,45.92,55.22,37.63,39.57,36.19,1,1
126395,21,0,2,8,1,12,12,1,2.76,32,32,0,25,2,0,0.4,2225,5,300,15,89.0,40858.0,27632.75,51181.6,0.0023147666507147167,2.6008614052974344e-05,21486,28078,32402,33080,76297,165387,191903,233971,245551,267176,323722,345602,353079,449404,450825,492006,527051,557674,606603,614952,697681,799316,960298,961220,3.46326372802e-07,5.46322350731e-07,3.26920398279e-06,3.45335439739e-05,1.34888498806e-06,5.82904294881e-07,8.07476837059e-07,7.97823265196e-07,1.00952599438e-06,2.90724667732e-06,1.97286540493e-06,4.23057444179e-06,8.02071799039e-07,1.92910457617e-06,2.80966354933e-07,1.79581593391e-06,4.62119387875e-06,9.83429685578e-07,1.09604859124e-06,0.151578064014,2.40970727271e-07,6.9942871753e-07,1.05248288489e-06,8.36261761788e-07,2.78356672431e-06,5.3815172382,3.99821175902,4.18097664016,3.58380126637,3.97406435062,3.93736131269,3.85847369265,3.93852461687,4.39913839063,3.68217426578,3.75851301448,4.49221629413,4.21269245103,3.89925090321,4.16321097485,3.81868311434,3.83904965527,3.96423038354,3.96995775607,0.0,8.66054408096,4.12722360303,3.67399746437,3.81408239245,4.14407244283,39.11,49.42,32.93,27.52,25.55,40.6,29.26,47.67,49.0,66.37,41.56,59.26,23.88,38.92,60.52,55.33,56.26,41.6,55.16,100.0,58.31,61.98,53.45,41.73,47.05,1,1
200093,46,0,1,1,1,6,6,1,2.04,32,32,0,25,2,0,0.4,2225,5,300,15,89.0,40858.0,27632.75,51181.6,0.0023147666507147167,2.6008614052974344e-05,21486,28078,32402,33080,76297,165387,191903,233971,245551,267176,323722,345602,353079,449404,450825,492006,527051,557674,606603,614952,697681,799316,960298,961220,1.58807190336e-07,3.79446006091e-07,1.13017466814e-06,5.11275892544e-07,4.65111331591e-07,2.77075716814e-07,2.85118473713e-07,3.19575643069e-07,4.0952545075e-07,9.9726832348e-07,1.16473971878e-06,1.25564717607e-06,1.78231876611e-07,5.7633630576e-07,8.53063256393e-08,5.6851640622e-07,1.36425956023e-06,3.54714301402e-07,2.88517637174e-07,1.10008129425e-07,0.161930199292,2.54422099429e-07,2.58406054622e-07,3.67723511035e-07,4.25368444172e-07,8.43568437893,8.41688917166,8.38469163536,8.35033815076,8.28412695684,8.32108421739,8.39241226137,8.23329787397,8.51461655352,8.15735959065,8.15985524198,8.6336885399,8.7067656057,8.24912925943,8.43716340307,8.14683707284,8.28861859707,8.381804333,8.37714237955,8.66054408096,0.0,8.4883837261,8.25069149408,8.42056998388,8.40671601969,42.58,54.48,36.46,37.33,24.06,50.54,43.95,44.97,41.71,57.88,43.91,47.06,31.24,41.04,51.07,61.13,49.66,45.52,45.92,58.31,100.0,64.02,53.67,40.51,43.3,1,1
193484,60,0,2,20,1,5,5,1,2.2,32,32,0,25,2,0,0.4,2225,5,300,15,89.0,40858.0,27632.75,51181.6,0.0023147666507147167,2.6008614052974344e-05,21486,28078,32402,33080,76297,165387,191903,233971,245551,267176,323722,345602,353079,449404,450825,492006,527051,557674,606603,614952,697681,799316,960298,961220,4.2651999333e-07,8.54103098167e-07,2.29796741411e-06,2.20796140117e-06,1.2177559158e-06,8.27700916704e-07,1.02005860226e-06,1.40266293821e-06,1.72074146555e-06,3.43840567103e-06,6.72762609904e-06,4.18227200465e-06,5.24957617736e-07,3.71643634564e-06,3.50641280411e-07,1.96312267415e-06,4.10663256188e-06,1.37052777529e-06,1.07656646475e-06,2.44800051135e-07,1.95054852208e-07,0.151215510013,1.08425188425e-06,5.59693393137e-07,1.60493670726e-06,4.63691115608,3.25056968458,3.45925356262,2.78544592612,3.12571389361,3.02419389258,3.16689050114,3.11936062887,3.69263402712,2.9125567685,2.8454314571,3.78214795539,3.53124142334,2.97426215879,3.06249411289,2.9929336858,3.09836596783,3.1706713861,3.10397172581,4.12722360303,8.4883837261,0.0,2.63678398513,3.2134558922,3.64456370978,47.79,54.79,34.32,42.49,23.02,40.46,34.64,46.57,37.06,49.99,47.95,47.7,21.77,56.22,61.61,53.8,51.27,48.72,55.22,61.98,64.02,100.0,44.04,43.29,47.54,1,1
